Id;ConducenHijos;Edad;NHijos;AntiguedadTrabajo;Ingresos;Soltero;ValorDomicilio;Genero;Educacion;Trabajo;DistanciaTrabajo;Uso;ValVehiculo;Experiencia;Tipo;ColorRojo;TCuantia;NSiniestros;Suspensiones;Motor;Antiguedad;Zona
26878;0;46;0;8;$75,614;No;$188,804;M;Master;Deportista;35;Privado;$16,010;1;Minivan;si;$0;0;No;2;14;Urbano
45865;0;39;2;0;$0;No;$105,472;F;Bachiller;Ingeniero;10;Privado;$5,400;1;Deportivo;no;$0;0;No;0;1;Urbano
40116;0;42;1;6;$68,984;Si;$219,684;M;Bachiller;Administrador;46;Privado;$1,500;6;Minivan;si;$0;0;Si;4;5;Urbano
79380;0;54;0;10;$46,624;No;$212,273;M;Master;Abogado;40;Privado;$18,990;13;Van;no;$0;0;No;0;13;Urbano
86711;0;56;0;0;$0;No;$134,398;F;Superior;Ingeniero;39;Privado;$13,130;6;Deportivo;no;$0;0;No;1;13;Rural
13380;0;40;0;9;$76,668;No;$268,878;M;Superior;Deportista;46;Privado;$13,970;1;Minivan;no;$0;0;No;0;1;Urbano
12706;0;47;0;12;$104,271;No;$265,153;M;Master;;40;Comercial;$36,120;4;Camión;si;$0;0;No;0;11;Urbano
71584;2;44;2;13;$74,943;No;$230,439;F;Master;Administrador;21;Privado;$10,320;13;SUV;no;$0;0;No;0;14;Rural
44107;0;42;2;11;$75,856;Si;$273,638;M;Superior;Independiente;44;Comercial;$14,900;4;Minivan;si;$0;0;No;0;13;Rural
35180;0;47;0;;$58,414;No;$211,733;F;Superior;Administrador;37;Privado;$12,060;10;SUV;no;$0;0;No;0;1;Urbano
58271;0;51;0;9;$65,506;No;$213,835;F;Técnico;Independiente;42;Comercial;$31,120;1;Minivan;no;$0;0;No;0;;Rural
23571;0;39;1;13;$91,164;No;$258,261;M;Superior;Deportista;46;Privado;$14,680;6;Minivan;no;$0;0;No;1;10;Urbano
22792;0;45;0;12;$43,998;No;$181,595;F;Master;Deportista;16;Privado;$25,500;4;Minivan;no;$0;0;No;0;15;Urbano
82659;0;40;0;12;$31,311;No;$153,571;M;Técnico;Independiente;12;Comercial;$8,630;1;Minivan;si;$0;0;No;1;1;Rural
51246;0;59;0;9;$25,323;No;$154,839;M;Superior;Administrador;60;Privado;$24,700;6;Minivan;si;$0;0;No;3;10;Rural
53119;0;38;0;12;$51,773;No;$185,145;F;Técnico;Independiente;45;Comercial;$14,610;4;Pickup;no;$0;0;No;1;10;Urbano
63979;0;45;1;15;;No;;F;Técnico;Arquitecto;51;Privado;$26,310;7;Pickup;no;$0;0;No;2;1;Rural
93240;0;61;0;14;$121,688;No;$378,194;F;Master;Abogado;63;Privado;$14,340;11;Deportivo;no;$0;0;No;0;7;Rural
93354;0;46;0;12;$116,634;No;$360,331;M;Superior;Independiente;14;Comercial;$17,760;3;Van;si;$0;0;No;0;14;Urbano
86514;0;26;1;11;$56,347;No;$201,599;M;Técnico;Independiente;30;Comercial;$16,410;10;Van;si;$0;0;No;0;1;Urbano
87486;0;43;2;;$37,135;No;$160,427;M;Master;;59;Comercial;$5,210;7;Pickup;si;$0;0;No;0;16;Urbano
77333;0;52;0;13;$147,351;No;$408,720;M;Master;Deportista;24;Comercial;$21,670;13;Van;si;$0;0;No;0;10;Urbano
25020;0;46;0;9;$107,006;No;$342,272;M;Master;Deportista;7;Privado;$6,100;1;Minivan;si;$0;0;No;0;15;Urbano
63039;0;47;0;12;$114,748;No;$289,437;F;Técnico;Independiente;34;Comercial;$24,740;4;Minivan;no;$0;0;No;0;10;Urbano
75822;0;46;0;12;$74,607;No;$275,748;F;Superior;Independiente;37;Comercial;$13,930;7;SUV;no;$0;0;No;0;7;Urbano
96698;0;54;0;12;$103,910;No;$314,938;M;Master;Abogado;19;Privado;$30,250;10;Minivan;si;$0;0;No;0;17;Urbano
76712;1;40;2;0;$0;Si;$0;F;Bachiller;Ingeniero;26;Privado;$21,340;1;Minivan;no;$0;0;No;1;1;Urbano
75069;0;53;0;17;;No;$344,629;F;PhD;Deportista;43;Privado;$6,800;1;SUV;no;$0;0;No;2;16;Urbano
68953;0;47;0;0;$0;No;$132,240;F;Bachiller;Ingeniero;22;Privado;$8,740;9;SUV;no;$0;0;No;2;;Urbano
18758;0;45;1;14;$92,626;No;$252,585;M;Master;Deportista;35;Comercial;$31,340;17;Camión;si;$0;0;No;1;16;Urbano
81152;0;53;0;11;$197,036;No;$498,667;F;PhD;Abogado;42;Privado;$26,500;11;Pickup;no;$0;0;No;0;20;Urbano
75349;0;47;0;7;$28,598;No;$102,214;M;Técnico;Arquitecto;46;Comercial;$9,060;1;Pickup;si;$0;0;No;0;7;Rural
47598;0;40;0;10;$8,519;No;$0;M;Bachiller;Arquitecto;37;Privado;$14,760;1;Minivan;si;$0;0;No;1;1;Urbano
34008;0;48;0;14;$82,885;No;$0;M;Superior;Deportista;60;Privado;$21,340;1;Minivan;no;$0;0;No;1;13;Urbano
78998;0;43;4;11;$69,651;No;$272,225;M;Técnico;Independiente;50;Comercial;$19,210;10;Van;si;$0;0;No;0;7;Urbano
37853;0;42;0;9;$67,003;No;$184,719;M;Superior;Deportista;11;Comercial;$22,660;3;Camión;no;$0;0;No;0;1;Urbano
20184;0;24;3;;$10,471;Si;;M;Master;;25;Privado;$13,070;3;Minivan;si;$0;0;Si;3;14;Urbano
43879;0;34;1;10;$46,771;Si;$181,943;M;Superior;Independiente;13;Comercial;$15,250;10;Minivan;no;$0;0;No;0;8;Urbano
19821;0;29;1;7;$31,407;Si;$0;F;Técnico;Independiente;42;Comercial;$11,890;1;SUV;no;$0;0;No;1;9;Urbano
77596;0;39;2;16;$94,726;No;$268,126;M;Técnico;Independiente;23;Comercial;$29,250;6;Camión;no;$0;0;No;0;8;Rural
37243;2;67;3;17;$30,182;No;$143,293;F;Técnico;Deportista;25;Privado;$20,610;4;Deportivo;no;$0;0;No;2;8;Urbano
95020;0;56;0;10;$31,093;No;$143,407;M;Master;Deportista;19;Privado;$12,560;7;Minivan;no;$0;0;No;3;9;Urbano
51848;0;38;0;7;$74,705;No;$217,457;F;Superior;Administrador;14;Privado;$15,070;1;Minivan;no;$0;0;No;1;3;Urbano
87346;0;50;0;8;$55,172;No;$176,835;M;Superior;Independiente;33;Comercial;$12,020;20;Pickup;si;$0;0;No;1;16;Urbano
17704;0;56;0;0;;No;$100,226;F;Superior;Ingeniero;32;Privado;$1,500;1;SUV;no;$0;0;No;1;10;Urbano
42377;0;39;0;9;$103,073;No;$257,576;F;Superior;Deportista;29;Privado;$28,750;1;Pickup;no;$0;0;No;0;1;Urbano
11085;0;51;0;7;$105,194;No;$283,144;M;Master;Deportista;11;Privado;$12,020;1;Pickup;no;$0;0;No;0;9;Urbano
82586;0;24;2;8;$11,664;Si;$91,216;M;Superior;Deportista;15;Privado;$2,670;1;Minivan;si;$0;0;No;0;13;Urbano
97877;0;42;1;15;$31,570;No;$143,819;M;Superior;Independiente;13;Comercial;$8,860;6;Pickup;no;$0;0;No;0;12;Urbano
45568;0;46;0;14;$84,614;No;$285,181;M;Master;;37;Comercial;$38,420;8;Camión;si;$0;0;Si;0;;Urbano
80416;1;36;2;13;;No;$143,787;M;Bachiller;Independiente;35;Privado;$16,990;10;Minivan;no;$0;0;Si;0;1;Urbano
45837;0;52;0;14;$57,134;No;;M;Técnico;Administrador;41;Comercial;$8,430;4;Pickup;si;$0;0;No;2;8;Urbano
94219;0;45;3;;$1,158;No;$0;F;Técnico;Estudiante;10;Comercial;$6,120;10;SUV;no;$0;0;No;0;1;Rural
18835;0;50;0;15;$51,006;No;$182,512;M;Técnico;Independiente;52;Comercial;$11,600;1;Minivan;no;$0;0;No;0;1;Rural
78807;0;41;0;13;$28,803;No;$136,808;M;Técnico;Arquitecto;21;Privado;$13,910;6;Minivan;si;$0;0;No;0;;Rural
19801;0;48;0;13;$24,713;No;;F;Bachiller;Arquitecto;11;Comercial;$23,550;1;Pickup;no;$0;0;Si;1;4;Urbano
82366;0;52;0;9;$46,188;No;$163,879;F;Master;Deportista;26;Privado;$18,910;6;Minivan;no;$0;0;No;0;12;Urbano
23271;0;41;0;7;$6,256;No;$0;M;Técnico;Estudiante;41;Privado;$5,600;1;Pickup;no;$0;0;No;0;7;Rural
38642;0;52;0;12;$97,336;No;$0;M;Superior;Administrador;22;Comercial;$18,660;4;Van;si;$0;0;No;0;10;Urbano
23441;0;44;0;7;$68,820;No;$197,831;F;Técnico;Independiente;16;Comercial;$12,780;1;Deportivo;no;$0;0;No;0;1;Rural
95753;0;37;0;11;;No;$164,213;F;Master;Abogado;14;Privado;$13,500;1;SUV;no;$0;0;No;2;13;Urbano
73600;1;53;1;11;$63,593;Si;$0;F;Superior;Independiente;39;Comercial;$23,410;13;Pickup;no;$0;0;No;0;10;Rural
14090;0;46;0;;$71,869;No;$246,071;M;Master;Administrador;53;Comercial;$30,710;8;Camión;si;$0;0;No;0;15;Urbano
15935;0;34;1;12;$45,931;No;$159,417;F;Técnico;Independiente;14;Comercial;$13,750;13;Minivan;no;$0;0;No;0;1;Urbano
66524;0;46;0;13;$66,030;No;$211,063;M;Superior;Independiente;35;Comercial;$20,110;1;Van;no;$0;0;No;4;;Urbano
59535;0;45;0;11;$67,095;No;$259,295;M;Técnico;Independiente;56;Comercial;$19,420;1;Van;no;$0;0;No;0;8;Rural
44996;1;42;3;17;$23,759;No;$151,636;M;Técnico;Arquitecto;66;Privado;$12,420;6;Minivan;no;$0;0;No;0;1;Rural
28816;2;46;0;10;$42,644;No;$158,938;M;Técnico;Independiente;59;Comercial;$28,470;4;Pickup;no;$0;0;No;0;7;Urbano
55807;0;33;2;13;$13,843;No;$118,722;F;Bachiller;Arquitecto;26;Privado;$3,480;9;Deportivo;no;$0;0;No;0;;Rural
38542;0;41;2;17;$65,901;No;$243,198;M;PhD;Abogado;16;Privado;$16,570;6;Van;si;$0;0;Si;1;8;Urbano
93597;0;56;0;9;$140,205;No;$378,490;F;Master;Deportista;22;Privado;$15,520;1;Deportivo;no;$0;0;No;4;15;Urbano
55798;0;53;0;14;$122,959;No;$342,426;M;PhD;Doctor;33;Privado;$21,830;7;Van;si;$0;0;No;0;20;Urbano
29370;0;27;3;11;$30,125;Si;$0;M;Bachiller;Estudiante;5;Privado;$20,120;1;Van;no;$0;0;No;0;1;Urbano
87091;0;31;3;14;$38,940;No;$193,932;F;Técnico;Arquitecto;16;Privado;$5,390;6;SUV;no;$0;0;No;1;7;Rural
29958;0;46;0;16;$100,888;No;$277,621;F;PhD;Doctor;12;Privado;$16,190;10;SUV;no;$0;0;No;2;11;Urbano
93287;0;46;0;14;$129,798;No;$312,180;F;Master;Deportista;19;Comercial;$23,550;1;Pickup;no;$0;0;No;0;12;Urbano
86269;0;50;0;14;$7,751;No;$140,665;F;Master;Ingeniero;22;Privado;$8,930;1;Minivan;no;$0;0;No;2;17;Rural
69995;0;52;0;14;$40,556;No;$190,086;M;Técnico;Arquitecto;30;Comercial;$11,860;1;Pickup;si;$0;0;No;2;9;Rural
42187;0;50;0;12;$116,061;No;$329,334;F;Superior;Administrador;25;Comercial;$26,750;6;Pickup;no;$0;0;No;0;7;Urbano
76057;0;49;0;14;$24,490;No;$0;F;Bachiller;Arquitecto;35;Privado;$8,850;1;SUV;no;$0;0;No;0;5;Rural
33564;0;52;0;12;$64,914;No;$236,516;F;Master;Abogado;29;Privado;$34,280;6;Minivan;no;$0;0;No;5;9;Urbano
26999;0;43;0;15;$70,255;No;$208,574;M;Técnico;Arquitecto;38;Comercial;$31,560;12;Camión;si;$0;0;No;0;1;Rural
92701;0;39;0;12;$33,997;No;$123,850;F;Bachiller;Independiente;8;Privado;$22,520;4;Pickup;no;$0;0;No;0;6;Urbano
62006;0;33;2;12;$92,904;Si;$264,763;F;Superior;Independiente;30;Comercial;$14,060;10;SUV;no;$0;0;No;0;10;Urbano
76027;1;36;1;13;$60,097;No;$173,562;F;Técnico;Independiente;40;Comercial;$28,040;11;Pickup;no;$0;0;No;1;1;Urbano
11427;0;48;0;8;$139,380;No;$388,124;M;Master;Abogado;53;Privado;$14,740;3;Minivan;si;$0;0;No;1;12;Urbano
88861;0;57;0;13;$119,975;No;$339,052;F;PhD;Doctor;40;Privado;$7,200;4;SUV;no;$0;0;Si;2;13;Urbano
27517;0;55;0;0;$0;No;$60,179;F;Superior;Ingeniero;30;Privado;$19,590;6;Deportivo;no;$0;0;No;0;11;Urbano
86227;0;41;0;;$27,907;No;$152,144;F;Técnico;Ingeniero;40;Privado;$14,500;7;Minivan;no;$0;0;No;0;6;Rural
99243;0;43;2;10;$50,952;Si;$0;M;Técnico;Independiente;27;Privado;$10,900;7;Minivan;no;$0;0;No;0;9;Urbano
16314;0;50;0;13;$94,589;No;$276,150;M;Bachiller;Independiente;8;Privado;$6,500;11;Minivan;no;$0;0;No;2;1;Urbano
37013;0;45;0;13;$8,234;No;$0;M;Bachiller;Estudiante;12;Privado;$1,650;1;Minivan;no;$0;0;Si;3;;Urbano
95105;1;36;2;9;$21,873;Si;$118,100;M;Bachiller;Arquitecto;27;Privado;$7,290;6;Minivan;no;$0;0;No;0;1;Rural
59901;1;45;3;15;$20,765;No;$0;F;Bachiller;Estudiante;35;Privado;$15,250;10;SUV;no;$0;0;No;1;8;Urbano
62851;0;59;0;7;$150,444;No;$372,496;M;Master;Abogado;64;Privado;$22,440;1;Minivan;no;$0;0;Si;0;17;Urbano
87447;0;55;0;10;$141,083;No;$393,624;F;Master;Abogado;42;Privado;$21,110;10;Deportivo;no;$0;0;No;0;22;Rural
37218;0;32;2;0;$0;No;;F;Master;Ingeniero;66;Privado;$7,100;4;Deportivo;no;$0;0;No;2;;Rural
29772;0;48;0;8;$79,637;No;$199,180;M;Bachiller;Independiente;27;Comercial;$30,120;1;Camión;no;$0;0;No;2;6;Rural
52724;1;42;1;9;$42,989;Si;$182,292;F;Técnico;Independiente;12;Comercial;$19,970;1;Pickup;no;$0;0;No;0;1;Rural
21861;0;42;0;13;$58,008;No;$213,887;M;Técnico;Independiente;54;Comercial;$18,610;1;Minivan;no;$0;0;Si;0;1;Urbano
32890;0;42;0;10;$58,453;No;$202,236;F;Superior;Independiente;29;Comercial;$9,480;4;Deportivo;no;$0;0;No;1;;Urbano
56073;0;57;0;15;$51,737;No;$167,419;F;Técnico;Independiente;56;Privado;$17,440;6;SUV;no;$0;0;Si;1;11;Rural
25517;0;52;0;14;$106,218;No;$323,804;F;Master;Abogado;47;Privado;$12,120;1;SUV;no;$0;0;No;0;12;Urbano
83052;0;36;0;12;$103,138;No;$290,185;M;PhD;Abogado;35;Privado;$17,960;1;Van;si;$0;0;No;3;20;Urbano
84017;0;55;0;12;$55,673;No;$245,678;F;Superior;Independiente;43;Comercial;$27,400;14;Van;no;$0;0;No;0;13;Urbano
30812;0;45;0;9;$107,537;No;$295,463;M;Master;Abogado;30;Privado;$16,820;4;Van;si;$0;0;No;0;12;Urbano
67011;0;39;2;12;$59,685;No;$197,089;M;Técnico;Independiente;42;Comercial;$7,470;7;Pickup;no;$0;0;No;0;1;Rural
58783;0;29;1;13;$30,447;No;$145,720;F;Técnico;Arquitecto;24;Privado;$5,640;7;Deportivo;no;$0;0;No;1;1;Rural
24872;0;52;0;12;$78,609;No;$281,358;M;Superior;Administrador;37;Privado;$17,520;4;Van;si;$0;0;No;0;11;Rural
52864;0;52;0;10;$32,140;No;$147,434;F;Master;Abogado;48;Privado;$21,250;13;Minivan;no;$0;0;No;4;11;Urbano
10219;0;41;0;11;$71,537;No;$182,239;F;Superior;Administrador;22;Privado;$25,530;13;Van;no;$0;0;No;0;7;Urbano
98293;1;43;2;14;$37,898;No;$191,417;F;Técnico;Arquitecto;55;Privado;$9,590;7;SUV;no;$0;0;No;0;1;Rural
15526;0;54;0;7;$101,307;No;$287,314;M;Superior;Deportista;9;Privado;$14,270;1;Minivan;no;$0;0;No;0;12;Urbano
81069;0;55;0;8;$108,048;No;$305,727;M;Master;Abogado;44;Privado;$17,800;1;Van;si;$0;0;No;2;;Urbano
25642;0;36;0;9;$79,801;No;$0;F;Técnico;Independiente;21;Comercial;$24,810;6;Pickup;no;$0;0;No;2;;Urbano
52133;0;60;0;12;$249,589;No;$559,258;F;PhD;;41;Comercial;$62,240;3;Camión;no;$0;0;No;0;14;Urbano
29925;0;51;0;15;$51,734;No;$233,529;M;Superior;Administrador;45;Privado;$11,770;4;Pickup;si;$0;0;No;0;14;Urbano
96227;0;32;3;0;$0;No;$0;F;Bachiller;Ingeniero;55;Privado;$2,530;1;Deportivo;no;$0;0;No;2;1;Rural
72699;0;59;0;11;$123,969;No;$347,418;M;Master;;35;Comercial;$31,540;1;Camión;no;$0;0;No;1;;Urbano
46071;0;53;0;11;$69,861;No;$0;M;Técnico;Independiente;14;Comercial;$13,970;13;Minivan;si;$0;0;No;0;10;Urbano
92985;0;50;0;0;$0;No;$0;F;Técnico;Estudiante;47;Comercial;$7,580;1;Deportivo;no;$0;0;No;0;1;Rural
75617;0;49;0;10;$73,251;No;$0;M;Técnico;Independiente;48;Comercial;$15,480;1;Minivan;si;$0;0;No;1;8;Rural
84651;0;51;0;11;$51,041;No;$0;F;Master;Abogado;41;Privado;$20,580;1;SUV;no;$0;0;Si;3;17;Urbano
74924;0;53;0;16;$59,931;No;;M;Superior;Arquitecto;31;Privado;$13,770;17;Minivan;si;$0;0;No;0;;Rural
94903;0;36;0;11;;No;$0;M;Técnico;Independiente;48;Comercial;$18,700;3;Van;si;$0;0;No;3;6;Urbano
80711;0;51;0;9;$65,506;No;$213,835;F;Técnico;Independiente;42;Comercial;$31,120;1;Minivan;no;$0;0;No;0;;Rural
14303;0;29;1;;$92,948;No;$302,971;F;Superior;Administrador;53;Privado;$17,120;1;Deportivo;no;$0;0;No;2;9;Urbano
88335;0;47;0;;$25,620;No;$141,115;M;Técnico;Arquitecto;64;Privado;$8,760;6;Minivan;si;$0;0;No;0;10;Rural
88645;0;50;0;13;$79,989;No;$247,773;F;Superior;Deportista;29;Privado;$25,380;13;SUV;no;$0;0;No;0;1;Urbano
61596;0;33;2;11;$33,392;No;$161,864;F;Técnico;Arquitecto;57;Privado;$8,140;4;Deportivo;no;$0;0;No;5;10;Urbano
23177;0;60;0;13;$99,441;No;$0;M;PhD;;51;Comercial;$28,560;7;Camión;si;$0;0;No;0;13;Urbano
29116;0;36;0;6;$20,800;No;$0;F;Técnico;Estudiante;57;Privado;$5,400;3;SUV;no;$0;0;No;1;6;Urbano
82203;1;41;1;11;$59,053;No;$134,169;F;Técnico;Independiente;36;Comercial;$11,510;1;SUV;no;$0;0;No;3;1;Urbano
80569;0;48;0;12;$51,834;No;$205,761;F;Superior;Independiente;34;Comercial;$28,190;7;Minivan;no;$0;0;No;0;16;Urbano
56374;0;50;0;12;;No;$0;F;Master;Abogado;13;Privado;$32,470;1;Deportivo;no;$0;0;No;0;16;Urbano
25269;0;46;0;0;$0;No;$0;F;Técnico;Estudiante;5;Privado;$13,420;1;SUV;no;$0;0;Si;2;12;Urbano
96321;0;41;2;0;$0;Si;$54,130;F;Master;Ingeniero;18;Privado;$32,090;6;Minivan;no;$0;0;No;0;17;Rural
61646;0;72;0;13;$100,995;No;$295,292;M;PhD;Abogado;28;Privado;$14,040;7;SUV;si;$0;0;No;6;17;Urbano
11625;0;53;0;14;$123,265;No;$345,259;M;Master;Abogado;5;Privado;$15,910;1;Minivan;si;$0;0;No;0;19;Urbano
99180;0;57;0;;$161,208;No;$408,578;M;Master;;12;Privado;$15,440;10;Minivan;no;$0;0;No;0;9;Urbano
89635;0;52;0;13;$108,078;No;$316,513;F;Técnico;Independiente;40;Comercial;$8,740;4;Deportivo;no;$0;0;No;0;1;Rural
95532;0;38;0;7;$138,953;No;$0;F;PhD;Administrador;24;Privado;$19,200;9;SUV;no;$0;0;No;1;16;Rural
89011;0;42;0;9;$76,226;No;$217,920;M;Superior;Independiente;18;Comercial;$23,390;13;Camión;si;$0;0;No;0;14;Urbano
66187;0;39;2;13;$26,840;Si;$143,884;M;Master;;26;Comercial;$10,360;7;Pickup;no;$0;0;Si;0;9;Urbano
16991;0;58;0;13;$71,529;No;$0;M;PhD;Doctor;5;Privado;$1,500;16;Minivan;no;$0;0;Si;0;18;Urbano
44131;0;39;0;11;$24,217;No;$129,104;M;Bachiller;Independiente;33;Comercial;$10,900;14;Pickup;si;$0;0;No;2;7;Rural
40573;0;47;0;9;$59,233;No;$167,038;F;Superior;Independiente;14;Comercial;$21,420;1;Minivan;no;$0;0;No;1;8;Urbano
78995;0;44;2;0;$0;No;$0;M;Técnico;Estudiante;25;Privado;$15,070;9;Minivan;si;$0;0;No;2;9;Rural
94655;1;52;1;12;$50,726;Si;$220,288;M;Superior;Deportista;12;Privado;$1,500;7;Minivan;no;$0;0;No;0;10;Urbano
14710;0;45;0;8;$40,368;No;$171,248;F;Superior;Administrador;37;Privado;$10,040;1;Deportivo;no;$0;0;No;1;8;Rural
72748;0;52;0;11;$79,348;No;$270,032;F;Técnico;Deportista;23;Privado;$13,150;11;SUV;no;$0;0;No;2;1;Urbano
34558;1;38;3;11;$73,677;Si;$0;F;Superior;Independiente;61;Comercial;$20,610;1;Minivan;no;$0;0;No;0;10;Rural
87054;0;46;0;10;;No;$195,459;M;Superior;Administrador;28;Privado;$12,600;6;Minivan;no;$0;0;No;2;7;Urbano
87404;0;32;2;11;$59,905;Si;$197,120;M;Bachiller;Independiente;23;Comercial;$8,620;1;Pickup;si;$0;0;Si;4;1;Urbano
13670;0;49;0;12;$210,235;No;$500,458;M;PhD;Doctor;36;Privado;$18,000;6;Van;no;$0;0;No;0;8;Urbano
26159;0;45;0;10;$76,115;No;$262,673;M;Técnico;Independiente;5;Comercial;$13,610;4;Minivan;no;$0;0;No;3;1;Urbano
34979;0;55;0;11;$98,129;No;$232,845;F;Superior;Deportista;35;Privado;$9,790;4;SUV;no;$0;0;No;1;7;Urbano
14557;0;49;0;7;$18,142;No;$118,774;M;Bachiller;Arquitecto;29;Privado;$11,900;6;Pickup;no;$0;0;No;0;6;Rural
92075;1;40;3;10;$80,052;Si;$0;F;Superior;Independiente;22;Comercial;$13,510;1;Minivan;no;$0;0;No;0;9;Rural
92457;0;54;0;13;$92,513;No;$0;M;Superior;Deportista;13;Privado;$22,150;3;Minivan;no;$0;0;No;0;10;Urbano
56038;0;49;0;14;$96,143;No;$275,140;M;Superior;Independiente;40;Comercial;$16,010;6;Minivan;si;$0;0;No;1;12;Rural
76693;0;33;1;10;$118,861;No;$270,664;F;Superior;Administrador;37;Privado;$16,690;4;Minivan;no;$0;0;No;0;7;Rural
46194;0;38;0;14;$20,449;No;$143,283;M;Técnico;Arquitecto;8;Privado;$16,580;4;Van;no;$0;0;No;1;1;Rural
19395;0;59;0;11;$39,099;No;$154,311;M;Técnico;Independiente;23;Comercial;$21,070;6;Van;no;$0;0;No;0;8;Urbano
30028;0;50;0;7;$106,952;No;$0;M;Superior;Administrador;48;Comercial;$18,510;7;Van;no;$0;0;No;1;17;Rural
53474;1;38;2;11;$67,347;No;$240,436;F;Superior;Independiente;79;Comercial;$30,180;10;SUV;no;$0;0;No;3;9;Rural
30924;0;53;0;13;;No;$499,433;M;PhD;Doctor;26;Privado;$14,610;6;Minivan;no;$0;0;No;0;5;Urbano
68526;0;41;3;8;$38,813;No;$127,229;F;Superior;Arquitecto;31;Privado;$5,600;3;SUV;no;$0;0;No;0;9;Urbano
77524;0;41;2;15;$92,259;No;$252,944;M;Master;Abogado;16;Privado;$17,050;1;Van;si;$0;0;No;4;14;Urbano
36278;0;41;0;13;$57,615;No;$181,310;M;Superior;Independiente;37;Comercial;$11,360;1;Pickup;si;$0;0;No;6;9;Urbano
25597;0;39;0;12;$66,962;No;$219,185;F;Técnico;Independiente;41;Comercial;$12,100;13;SUV;no;$0;0;No;2;9;Urbano
77284;0;46;0;10;$140,919;No;$365,826;F;Master;Abogado;49;Privado;$22,700;13;Minivan;no;$0;0;No;2;10;Rural
94520;0;50;0;15;$25,104;No;$110,907;F;Bachiller;Independiente;21;Privado;$17,340;17;Deportivo;no;$0;0;No;1;1;Urbano
66496;0;48;0;14;$28,408;No;$181,535;F;Técnico;Ingeniero;33;Privado;$14,280;7;SUV;no;$0;0;No;3;1;Urbano
89696;0;53;0;16;$90,526;No;$262,538;M;Superior;Administrador;5;Comercial;$30,810;1;Camión;no;$0;0;No;0;;Rural
69689;0;60;0;12;$37,940;No;$182,739;F;Técnico;Independiente;16;Comercial;$11,290;1;Deportivo;no;$0;0;No;0;1;Urbano
62487;0;37;2;14;$63,770;No;$216,280;F;Técnico;Independiente;12;Comercial;$12,510;1;SUV;no;$0;0;No;0;9;Rural
45107;0;35;3;14;$45,684;Si;$173,040;M;Bachiller;Independiente;30;Comercial;$24,110;9;Camión;si;$0;0;No;0;6;Rural
14729;1;43;2;11;$76,159;Si;$0;F;Superior;Administrador;52;Privado;$19,750;4;SUV;no;$0;0;Si;0;;Urbano
17110;0;38;1;10;$91,424;Si;$247,423;F;Superior;Administrador;27;Privado;$14,440;1;SUV;no;$0;0;Si;1;8;Urbano
88180;0;62;0;;$0;No;$0;F;Bachiller;Estudiante;39;Privado;$12,820;10;Deportivo;no;$0;0;No;0;6;Rural
15071;0;47;0;10;$119,454;No;$0;F;Master;;23;Comercial;$27,530;1;Pickup;no;$0;0;Si;0;14;Urbano
